[2023-11-17T21:36:29.335761+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:36:29.986070+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:36:30.338061+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:41:17.134403+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T21:41:43.938727+01:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-17T15:42:24.929681-05:00] Recalls_Logger.INFO: My logger is now ready [] []
[2023-11-24T13:46:53.085627-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:53.239631-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:53.348139-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:53.483089-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:53.604408-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:54.261699-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:46:54.378427-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:47:07.269467-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car"},"Query Params":[],"Ip":"10.1.3.24"} []
[2023-11-24T13:47:10.912715-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car?sfweWE"},"Query Params":{"sfweWE":""},"Ip":"10.1.3.24"} []
[2023-11-24T13:47:15.304826-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car?sfweWE=1111"},"Query Params":{"sfweWE":"1111"},"Ip":"10.1.3.24"} []
[2023-11-24T13:47:23.134968-05:00] Recalls_Logger.INFO: Unexpected value {"Method":"GET","URI":{"Slim\\Psr7\\Uri":"http://10.1.3.44/recalls-api/customers/5/car?sfweWE=1111&SSSSSSSSSSS=DQER"},"Query Params":{"sfweWE":"1111","SSSSSSSSSSS":"DQER"},"Ip":"10.1.3.24"} []

